platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,9,1910000,262144,7.286071777,0.137248168,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,10,1913000,262144,7.297515869,0.137032933,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,11,1916000,262144,7.308959961,0.136818372,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,12,1991000,262144,7.595062256,0.131664490,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,13,1931000,262144,7.366180420,0.135755567,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,14,1984000,262144,7.568359375,0.132129032,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,8192,15,1999000,262144,7.625579834,0.131137569,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,1,1916000,262144,7.308959961,0.136818372,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,2,1963000,262144,7.488250732,0.133542537,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,3,1914000,262144,7.301330566,0.136961338,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,4,1923000,262144,7.335662842,0.136320333,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,5,1922000,262144,7.331848145,0.136391259,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,6,1916000,262144,7.308959961,0.136818372,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,7,1955000,262144,7.457733154,0.134089003,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,8,1912000,262144,7.293701172,0.137104603,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,9,1915000,262144,7.305145264,0.136889817,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,10,1913000,262144,7.297515869,0.137032933,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,11,1915000,262144,7.305145264,0.136889817,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,12,1941000,262144,7.404327393,0.135056157,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,13,1914000,262144,7.301330566,0.136961338,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,14,2010000,262144,7.667541504,0.130419900,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,65536,15,1948000,262144,7.431030273,0.134570842,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,1,7951000,1048576,7.582664490,0.131879764,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,2,7847000,1048576,7.483482361,0.133627628,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,3,7732000,1048576,7.373809814,0.135615106,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,4,7793000,1048576,7.431983948,0.134553574,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,5,7753000,1048576,7.393836975,0.135247775,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,6,8009000,1048576,7.637977600,0.130924710,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,7,7841000,1048576,7.477760315,0.133729881,,ok
Darwin-arm64,Apple M2 Pro,clang-17.0.0 (clang-1700.0.13.5),AES-128,ref,block,1048576,8,7821000,1048576,7.458686829,0.134071858,,ok
