platform,cpu,compiler,algorithm,backend,operation,size_bytes,sample,elapsed_ns,bytes_processed,ns_per_byte,gbps,cycles_per_byte,status
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,5,2082400,262144,7.943725586,0.125885517,23.793861389,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,6,2099700,262144,8.009719849,0.124848312,23.991897583,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,7,2137700,262144,8.154678345,0.122628994,24.425453186,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,8,2009800,262144,7.666778564,0.130432879,22.964714050,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,9,2160700,262144,8.242416382,0.121323645,24.688255310,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,10,2169300,262144,8.275222778,0.120842668,24.786636353,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,11,2158000,262144,8.232116699,0.121475440,24.656761169,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,12,2022700,262144,7.715988159,0.129601028,23.111923218,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,13,2181600,262144,8.322143555,0.120161349,24.926200867,ok
Windows-x86_64,13th Gen Intel(R) Core(TM) i9-13900H,clang-22.1.8 (https://github.com/msys2/MINGW-packages 6e4e79c2f86eeb534e324e583f2057dc9fd5ecab),AES-128,ref,block,4096,14,2192300,262144,8.362960815,0.119574876,25.049629211,ok
